slice_file_name,fold,classID,class
3_2_4.wav,11,2,password
2_3_5.wav,11,3,qwerty
1_1_5.wav,11,1,123456
3_2_5.wav,11,2,password
2_1_3.wav,11,1,123456
1_3_3.wav,11,3,qwerty
2_3_3.wav,11,3,qwerty
2_3_1.wav,11,3,qwerty
2_2_1.wav,11,2,password
3_1_3.wav,11,1,123456
1_1_4.wav,11,1,123456
2_1_2.wav,11,1,123456
2_1_1.wav,11,1,123456
1_2_5.wav,11,2,password
1_1_3.wav,11,1,123456
3_1_4.wav,11,1,123456
3_1_1.wav,11,1,123456
2_3_4.wav,11,3,qwerty
2_1_4.wav,11,1,123456
3_3_5.wav,11,3,qwerty
3_1_2.wav,11,1,123456
1_2_4.wav,11,2,password
1_1_1.wav,11,1,123456
2_1_5.wav,11,1,123456
2_2_2.wav,11,2,password
3_3_2.wav,11,3,qwerty
3_3_4.wav,11,3,qwerty
3_3_1.wav,11,3,qwerty
3_2_2.wav,11,2,password
1_1_2.wav,11,1,123456
3_1_5.wav,11,1,123456
1_3_1.wav,11,3,qwerty
3_3_3.wav,11,3,qwerty
1_3_4.wav,11,3,qwerty
1_3_2.wav,11,3,qwerty
1_2_3.wav,11,2,password
3_2_3.wav,11,2,password
1_3_5.wav,11,3,qwerty
1_2_1.wav,11,2,password
2_3_2.wav,11,3,qwerty
2_2_3.wav,11,2,password
3_2_1.wav,11,2,password
2_2_4.wav,11,2,password
2_2_5.wav,11,2,password
R_p_1.wav,11,2,password
R_p_2.wav,11,2,password
R_p_3.wav,11,2,password
R_1_1.wav,11,1,123456
R_1_2.wav,11,1,123456
R_1_4.wav,11,1,123456
R_q_1.wav,11,3,qwerty
R_q_2.wav,11,3,qwerty
R_q_3.wav,11,3,qwerty
p1.wav,11,2,password
p2.wav,11,2,password
p3.wav,11,2,password
p4.wav,11,2,password
p5.wav,11,2,password
1.wav,11,1,123456
2.wav,11,1,123456
3.wav,11,1,123456
4.wav,11,1,123456
5.wav,11,1,123456
q1.wav,11,3,qwerty
q2.wav,11,3,qwerty
q3.wav,11,3,qwerty
q4.wav,11,3,qwerty
R_p_4.wav,11,2,password
R_p_5.wav,11,2,password
R_q_4.wav,11,3,qwerty
R_1_3.wav,11,1,123456
1_2_2.wav,11,2,password
q5.wav,11,3,qwerty
f_q_1.wav,11,3,qwerty
f_q_2.wav,11,3,qwerty
f_q_3.wav,11,3,qwerty
f_q_4.wav,11,3,qwerty
f_q_5.wav,11,3,qwerty
f_p_1.wav,11,2,password
f_p_2.wav,11,2,password
f_p_3.wav,11,2,password
f_p_4.wav,11,2,password
f_p_5.wav,11,2,password
f_1_1.wav,11,1,123456
f_1_2.wav,11,1,123456
f_1_3.wav,11,1,123456
f_1_4.wav,11,1,123456
f_1_5.wav,11,1,123456
f_p_6.wav,11,2,password
f_q_6.wav,11,3,qwerty
